id,host_is_superhost,neighbourhood_cleansed,property_type,room_type,accommodates,bathrooms,bedrooms,price,review_scores_rating,reviews_per_month,neighbourhood
13188,Yes,Riley Park,Other,Entire home/apt,4,1,0,136,4.85,1.99,Other
13358,Yes,Downtown,Entire condo,Entire home/apt,2,1,1,188,4.71,3.11,Downtown
18270,No,Mount Pleasant,Other,Private room,2,1,1,47,4.54,0.66,Mount Pleasant
18589,Yes,Grandview-Woodland,Private room in home,Private room,2,1,1,123,4.98,3.6,Other
18795,No,West End,Private room in home,Private room,2,1,1,75,4.56,0.74,Other
20085,No,Kensington-Cedar Cottage,Other,Entire home/apt,3,1,2,90,4.8,0.42,Other
24273,No,Kitsilano,Entire rental unit,Entire home/apt,6,1,2,171,5,0.11,Kitsilano
33150,Yes,Riley Park,Entire rental unit,Entire home/apt,3,1,1,138,4.98,1,Other
35102,Yes,Downtown,Entire condo,Entire home/apt,4,2,2,110,4.7,0.42,Downtown
35304,Yes,Grandview-Woodland,Entire home,Entire home/apt,2,1,1,125,4.78,3.57,Other
42645,No,Downtown,Entire condo,Entire home/apt,3,1,1,169,4.77,0.19,Downtown
73841,No,Downtown,Entire condo,Entire home/apt,4,1,1,120,4.79,0.17,Downtown
77157,Yes,Arbutus Ridge,Other,Entire home/apt,5,1,1,106,4.83,4.88,Other
98830,No,Downtown,Entire rental unit,Entire home/apt,2,1,1,189,4.88,1.56,Downtown
139705,No,Hastings-Sunrise,Private room in home,Private room,1,1,1,50,NA,NA,Other
140698,Yes,Mount Pleasant,Private room in home,Private room,2,1,1,110,4.88,1.2,Mount Pleasant
248014,No,Grandview-Woodland,Entire home,Entire home/apt,3,1,2,131,5,0.01,Other
256178,No,Kitsilano,Entire home,Entire home/apt,7,1,2,176,5,0.15,Kitsilano
322824,Yes,Downtown,Entire condo,Entire home/apt,2,1,1,145,4.89,0.95,Downtown
359942,Yes,Downtown,Other,Private room,2,1,2,264,4.86,0.28,Downtown
436032,Yes,Downtown Eastside,Other,Entire home/apt,4,1,2,248,4.85,1.33,Downtown Eastside
461386,Yes,Killarney,Private room in home,Private room,2,1,1,183,4.54,0.33,Other
464172,Yes,Hastings-Sunrise,Entire home,Entire home/apt,4,1,2,162,4.74,0.31,Other
475296,Yes,Downtown Eastside,Other,Entire home/apt,2,1.5,1,350,4.87,1.72,Downtown Eastside
496298,Yes,Downtown,Entire rental unit,Entire home/apt,3,1,1,119,4.91,1.05,Downtown
498112,Yes,Kensington-Cedar Cottage,Entire home,Entire home/apt,8,2,4,550,4.76,0.3,Other
507767,Yes,Downtown,Other,Entire home/apt,4,1,1,183,5,0.05,Downtown
540348,Yes,Kensington-Cedar Cottage,Entire home,Entire home/apt,6,1,3,440,4.93,0.95,Other
557357,No,Grandview-Woodland,Entire home,Entire home/apt,2,1,1,80,4.89,1.19,Other
622217,No,Downtown,Entire condo,Entire home/apt,6,2,3,722,4.93,0.47,Downtown
625396,Yes,Kitsilano,Entire home,Entire home/apt,2,1,1,220,4.79,1.53,Kitsilano
654744,No,West End,Entire rental unit,Entire home/apt,4,2,2,143,4.75,0.51,Other
654763,Yes,Kensington-Cedar Cottage,Other,Entire home/apt,1,1,1,55,4.73,0.14,Other
703179,Yes,Downtown,Entire condo,Entire home/apt,2,1,1,117,4.81,1.21,Downtown
713271,No,West End,Entire rental unit,Entire home/apt,2,1,1,135,4.78,0.66,Other
731219,No,Kitsilano,Other,Entire home/apt,2,1,1,175,4.93,0.09,Kitsilano
771366,Yes,Downtown,Other,Entire home/apt,2,1,0,183,5,0.09,Downtown
771380,Yes,Downtown,Other,Entire home/apt,6,2,2,270,4.67,0.1,Downtown
784153,Yes,Kitsilano,Other,Entire home/apt,2,1,1,140,4.79,0.41,Kitsilano
785297,Yes,Kitsilano,Private room in home,Private room,2,1,1,115,4.86,0.61,Kitsilano
801222,Yes,Fairview,Other,Entire home/apt,2,1,1,84,4.64,0.17,Other
875309,No,Kitsilano,Entire home,Entire home/apt,5,1.5,2,375,4.71,0.24,Kitsilano
880390,No,Kensington-Cedar Cottage,Private room in home,Private room,2,1,1,109,4.6,0.6,Other
885600,Yes,Dunbar Southlands,Other,Entire home/apt,2,1,1,135,4.93,2.2,Other
1032892,Yes,Grandview-Woodland,Private room in home,Private room,2,1,1,118,4.88,1.48,Other
1113551,No,Kitsilano,Entire home,Entire home/apt,8,2,4,780,4.85,0.36,Kitsilano
