id,host_is_superhost,neighbourhood_cleansed,property_type,room_type,accommodates,bathrooms,bedrooms,price,review_scores_rating,reviews_per_month,neighbourhood
35102,Yes,Downtown,Entire condo,Entire home/apt,4,2,2,110,4.7,0.42,Downtown
38067381,Yes,Downtown,Other,Entire home/apt,2,1,1,150,5,0.18,Downtown
1237946477318317300,Yes,Downtown Eastside,Entire rental unit,Entire home/apt,2,1,1,164,4.95,4.19,Downtown Eastside
574795430216987600,Unknown,Downtown,Entire rental unit,Entire home/apt,3,1,1,138,4.83,0.96,Downtown
1.1778306934309919e+18,Yes,Kensington-Cedar Cottage,Entire rental unit,Entire home/apt,2,1,1,108,4.5,0.26,Other
818892097792941300,Yes,Dunbar Southlands,Private room in home,Private room,2,1,1,72,4.96,0.75,Other
53312843,No,Mount Pleasant,Entire condo,Entire home/apt,3,1,1,99,4.81,5.29,Mount Pleasant
24119846,No,Kitsilano,Other,Private room,2,1,1,83,4.82,0.25,Kitsilano
52826298,Yes,Downtown,Entire condo,Entire home/apt,2,1,0,98,5,0.37,Downtown
28740196,Yes,Grandview-Woodland,Other,Entire home/apt,2,1,0,101,4.97,4.38,Other
39421282,Yes,Kensington-Cedar Cottage,Other,Entire home/apt,2,1,1,88,4.76,1.84,Other
50380794,No,Victoria-Fraserview,Private room in home,Private room,1,2,1,50,4.75,0.13,Other
980871365948717600,Unknown,Hastings-Sunrise,Entire home,Entire home/apt,4,1,1,104,4.61,2.42,Other
1489407912751950800,Unknown,Arbutus Ridge,Entire home,Entire home/apt,4,1,2,146,4.5,1.4,Other
1395856782686200800,No,Downtown,Entire rental unit,Entire home/apt,2,1,1,120,NA,NA,Downtown
1216803512442206200,Yes,Hastings-Sunrise,Entire home,Entire home/apt,4,1,2,95,4.86,3.66,Other
35520243,Yes,Downtown Eastside,Entire rental unit,Entire home/apt,4,2.5,2,225,4.87,1.89,Downtown Eastside
38762538,No,Downtown,Entire condo,Entire home/apt,3,1,1,179,4.88,0.22,Downtown
3445182,No,Fairview,Entire home,Entire home/apt,5,2.5,2,315,NA,NA,Other
1508868304681488400,Yes,Mount Pleasant,Other,Private room,1,1,1,60,NA,NA,Mount Pleasant
22231178,Yes,Fairview,Entire condo,Entire home/apt,3,1,1,110,4.8,0.27,Other
1138732177138474900,Yes,Downtown,Entire rental unit,Entire home/apt,3,1,1,135,4.95,1.74,Downtown
1217485947467654e3,Yes,Hastings-Sunrise,Other,Entire home/apt,3,1,1,138,4.93,7.4,Other
23528634,Yes,West End,Private room in home,Private room,1,1,1,71,4.72,0.69,Other
1356360330602354400,No,Mount Pleasant,Private room in home,Private room,1,1,1,32,NA,NA,Mount Pleasant
1506809813368317e3,No,Downtown,Entire rental unit,Entire home/apt,4,1,3,133,NA,NA,Downtown
1366727490326725400,No,Downtown,Entire rental unit,Entire home/apt,2,1,1,99,5,0.52,Downtown
1522905926126116900,No,Shaughnessy,Private room in home,Private room,2,2,1,50,NA,NA,Other
876043559508828200,Yes,Kitsilano,Entire home,Entire home/apt,7,4.5,4,765,4.88,0.53,Kitsilano
53596215,Yes,Renfrew-Collingwood,Other,Entire home/apt,3,1,1,157,4.94,3.35,Other
1462721845326038800,Yes,Renfrew-Collingwood,Other,Entire home/apt,2,1,1,133,5,5.24,Other
909578425542231300,Yes,Downtown,Entire condo,Entire home/apt,5,2,3,499,4.76,0.67,Downtown
53313024,No,Strathcona,Entire condo,Entire home/apt,5,1,2,59,4.82,6.22,Other
1039986248560916600,No,Fairview,Entire home,Entire home/apt,6,2.5,3,389,NA,NA,Other
30180834,Yes,Dunbar Southlands,Private room in home,Private room,2,1,1,123,4.98,4.11,Other
1273915349655382800,No,Downtown,Other,Entire home/apt,8,2,4,391,4.61,9.27,Downtown
833952751887096600,No,Downtown,Entire rental unit,Entire home/apt,2,1,0,167,4.81,3.59,Downtown
1269938933319844900,Yes,Sunset,Other,Entire home/apt,4,1,2,82,4.88,5.23,Other
608252515654744300,Yes,Mount Pleasant,Other,Private room,2,1,1,89,4.84,4.56,Mount Pleasant
681764885431307400,Unknown,Kitsilano,Other,Private room,2,1,1,101,4.92,2.8,Kitsilano
1768817,No,Riley Park,Other,Entire home/apt,2,1,1,100,4.91,0.52,Other
1476614872062790100,No,West Point Grey,Private room in home,Private room,2,1,1,48,NA,NA,Other
7248669,Yes,Hastings-Sunrise,Other,Entire home/apt,3,1,1,258,4.97,0.77,Other
31101733,Yes,Dunbar Southlands,Other,Private room,5,1,1,105,4.84,5.4,Other
669491823340176100,Yes,Downtown,Entire condo,Entire home/apt,7,2,2,304,4.84,3.63,Downtown
30133503,No,Hastings-Sunrise,Other,Entire home/apt,2,1,1,77,4.61,1.26,Other
